timestamp,source_ip,destination_ip,protocol,packet_length
1780593878.2471056,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,97
1780593878.2476215,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,97
1780593878.3354566,0.0.0.0,255.255.255.255,17,336
1780593878.493415,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,113
1780593878.4960883,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,125
1780593878.4969072,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,94
1780593878.5933495,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,94
1780593878.5944457,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,86
1780593878.596732,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,1374
1780593878.5978413,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,501
1780593878.8003492,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,86
1780593878.8014965,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,86
1780593878.8019898,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,1354
1780593878.8023818,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,1011
1780593878.8034472,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,86
1780593878.803756,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,98
1780593878.8040318,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,1354
1780593878.8042736,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,86
1780593878.804736,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,166
1780593878.8049762,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,213
1780593878.8052006,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,134
1780593878.8988721,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,86
1780593878.900145,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,639
1780593878.9011579,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,117
1780593879.1020107,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,86
1780593879.2096255,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,1164
1780593879.2101645,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,134
